d,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
1938385613,黑袍纠察队 第一季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2558948000.jpg,2019-07-26(美国),https://movie.douban.com/subject/3703650/,8.6,"动作,科幻,犯罪",4.5,,,2019-09-03 20:56:52,2019 / 美国 / 动作 科幻 犯罪 / 菲利浦·斯格里西亚 丹尼尔·艾提奥斯 艾力克·克莱普科 詹妮弗·彭 斯特凡·施瓦茨 马特·沙克曼 弗雷德·托耶 丹·特拉亨伯格 / 卡尔·厄本 艾琳·莫里亚蒂
1890102948,这份恋情有罪吗！？,想要谈恋爱,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2542778146.jpg,2018-12-02(日本),https://movie.douban.com/subject/30371774/,7.0,"剧情,喜剧,爱情",3.5,想要谈恋爱,,2019-08-04 06:05:16,2018 / 日本 / 剧情 喜剧 爱情 / 小川弹 / 柏木由纪 伊藤健太郎
1863108026,心里的声音,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2397544484.jpg,2016-11-07(韩国),https://movie.douban.com/subject/26435723/,9.2,"剧情,喜剧",4.5,,,2019-07-17 00:24:55,2016 / 韩国 / 剧情 喜剧 / 河炳勋 / 李光洙 郑素敏
1863105729,机智牢房生活,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2506561091.jpg,2017-11-22(韩国),https://movie.douban.com/subject/27081753/,9.4,"剧情,喜剧",4.5,,,2019-07-17 00:23:33,2017 / 韩国 / 剧情 喜剧 / 申元浩 / 朴海秀 郑敬淏
1863103516,小姐,plus更快乐,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2355555424.jpg,2016-05-14(戛纳电影节),https://movie.douban.com/subject/25977027/,8.5,"剧情,悬疑,情色",4.5,plus更快乐,,2019-07-17 00:21:51,2016 / 韩国 / 剧情 悬疑 情色 同性 / 朴赞郁 / 金敏喜 金泰梨
1863087557,老男孩,男孩不老，率性而为,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2166892850.jpg,2003-11-21(韩国),https://movie.douban.com/subject/1308865/,8.3,"剧情,动作,悬疑",4.0,男孩不老，率性而为,,2019-07-17 00:11:07,2003 / 韩国 / 剧情 动作 悬疑 惊悚 / 朴赞郁 / 崔岷植 刘智泰
1863081116,金福南杀人事件始末,像是射箭一样，弓拉的满满的，嗖的一下射出去...,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p596526266.jpg,2010-09-02(韩国),https://movie.douban.com/subject/4826419/,8.6,"剧情,惊悚,犯罪",4.5,像是射箭一样，弓拉的满满的，嗖的一下射出去...,,2019-07-17 00:06:50,2010 / 韩国 / 剧情 惊悚 犯罪 / 张哲洙 / 徐英姬 池成媛
1863070335,恶人传,气有余而力不足,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2555084871.jpg,2019-05-15(韩国),https://movie.douban.com/subject/30211551/,7.8,"剧情,动作,犯罪",4.0,气有余而力不足,,2019-07-16 23:59:33,2019 / 韩国 / 剧情 动作 犯罪 / 李元泰 / 马东锡 金武烈
1798716451,诺比特,,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2536341407.jpg,2007-02-09(美国),https://movie.douban.com/subject/1929438/,5.8,"喜剧,爱情",3.0,,,2019-05-25 18:19:00,2007 / 美国 / 喜剧 爱情 / 布莱恩·罗宾斯 / 艾迪·墨菲 坦迪·牛顿
1693826848,权力的游戏 第八季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2553679104.jpg,2019-04-14(美国),https://movie.douban.com/subject/26584183/,6.1,"剧情,奇幻,冒险",3.0,,,2019-05-20 19:06:56,2019 / 美国 / 剧情 奇幻 冒险 / 米格尔·萨普什尼克 大卫·努特尔 戴维·贝尼奥夫 D·B·威斯 / 艾米莉亚·克拉克 基特·哈灵顿
1793176446,权力的游戏 第六季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2321971908.jpg,2016-04-24(美国),https://movie.douban.com/subject/25862357/,9.5,"剧情,战争,奇幻",5.0,,,2019-05-20 19:06:55,2016 / 美国 英国 / 剧情 战争 奇幻 冒险 / 杰雷米·波德斯瓦 杰克·本德 马克·米罗 丹尼尔·沙克海姆 米格尔·萨普什尼克 / 麦茜·威廉姆斯 艾米莉亚·克拉克
1793176411,权力的游戏 第五季,,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2230256732.jpg,2015-04-12(美国),https://movie.douban.com/subject/25826612/,9.4,"剧情,奇幻,冒险",4.5,,,2019-05-20 19:06:53,2015 / 美国 / 剧情 奇幻 冒险 / 迈克尔·斯洛维斯 马克·米罗 杰雷米·波德斯瓦 米格尔·萨普什尼克 大卫·努特尔 / 艾米莉亚·克拉克 彼特·丁拉基
